"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"6776","@GracieSlick4 I'm so sick&amp; tired I'm going to try &amp; sleep, does any 1 know how it feels to be ill, no your having s… https://t.co/Ui5mCBjC6b",FALSE,0,"GracieSlick4",2018-02-16 01:26:50,TRUE,NA,"964310066441654272","934522880645144576","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","GracieSlick4",0,FALSE,FALSE,NA,NA
"6777","RT @MisterPreda: Debuting myself to the general public after my 5-day flu quarantine. https://t.co/NJd4uodkQO",FALSE,0,NA,2018-02-16 01:26:48,FALSE,NA,"964310057478311936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yaraahwal",88,TRUE,FALSE,NA,NA
"6778","@GraysonDolan Aww I'm sorry gray :( I just got the flu and i feel like I'm gonna die. Tuesday might be my last tuesday oml",FALSE,0,"GraysonDolan",2018-02-16 01:26:48,FALSE,"964309770592182272","964310057243566081","2156278138","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarterrNation",0,FALSE,FALSE,NA,NA
"6779","RT @LOLGOP: It’s not fair to say that the GOP is only apathetic about gun violence. 4,000 Americans died of the flu last week and they want…",FALSE,0,NA,2018-02-16 01:26:47,FALSE,NA,"964310052227121152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heatlyn",1541,TRUE,FALSE,NA,NA
"6780","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:26:46,FALSE,NA,"964310051438645248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wild_livii",5511,TRUE,FALSE,NA,NA
"6781","RT @APHealthScience: Flu vaccine doing a poor job protecting older Americans and others against the bug that's causing most illnesses. By @…",FALSE,0,NA,2018-02-16 01:26:45,FALSE,NA,"964310043989602305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","russmove",42,TRUE,FALSE,NA,NA
"6782","@_TheReal_Boss It’s almost that time.... I<U+FE0F> feel the flu coming on *Cough Cough* <ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>",FALSE,0,"_TheReal_Boss",2018-02-16 01:26:44,FALSE,NA,"964310041632395264","44514855","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NOonee_Comparez",0,FALSE,FALSE,NA,NA
"6783","RT @RawStory: US officials warn 'intense' flu season to continue, urge shots https://t.co/F3QYUjSOZE",FALSE,0,NA,2018-02-16 01:26:44,FALSE,NA,"964310040168583168",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","music2c",6,TRUE,FALSE,NA,NA
"6784","@mateusduque A titularidade so Abel nao ver isso, todo torcedor do Flu enxerga isso. Abel prefere PedroQueixada kkk… https://t.co/hL9DL4NaQ0",FALSE,0,"mateusduque",2018-02-16 01:26:43,TRUE,"964301711916634112","964310037987495937","154654802","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hadlervitor",0,FALSE,FALSE,NA,NA
"6785","Wow, so my mom has a fever/ oncoming flu and every time she coughs I get nervous. Like wtf, are you okay or no?",FALSE,0,NA,2018-02-16 01:26:41,FALSE,NA,"964310030718849024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CariBands_",0,FALSE,FALSE,NA,NA
"6786","RT @TerryTorro: CAN YALL COUGH &amp; SNEEZE IN YOUR DAMN ELBOW! THE FLU IS LITERALLY MURKING PEOPLE AND YALL OUT HERE BEING DISRESPECTFUL https…",FALSE,0,NA,2018-02-16 01:26:40,FALSE,NA,"964310023680782336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lamaramal",5511,TRUE,FALSE,NA,NA
